Label: Tib-Ant Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Label: Gcn-Med Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Auto
Use Camera: NO
Video File Path: prueba Tib-ant, Gcn-med[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],Tib-Ant [V],Gcn-Med [V]
0.000000e+000,-1.052856e-005,1.373291e-006
1.000000e-003,-1.373291e-005,-2.593994e-006
2.000000e-003,-1.541138e-005,1.327515e-005
3.000000e-003,-1.754761e-005,2.197266e-005
4.000000e-003,-1.632690e-005,4.516602e-005
5.000000e-003,-1.983643e-005,7.003784e-005
6.000000e-003,-1.846313e-005,4.531860e-005
7.000000e-003,-1.754761e-005,-1.373291e-006
8.000000e-003,-1.907349e-005,-5.584717e-005
9.000000e-003,-1.663208e-005,-5.645752e-005
1.000000e-002,-1.419067e-005,4.196167e-005
1.100000e-002,-2.075195e-005,6.942749e-005
1.200000e-002,-2.365112e-005,7.324219e-005
1.300000e-002,-1.983643e-005,4.943848e-005
1.400000e-002,-1.434326e-005,-2.227783e-005
1.500000e-002,-1.083374e-005,-4.531860e-005
1.600000e-002,-1.327515e-005,-5.493164e-005
1.700000e-002,-1.174927e-005,-3.875732e-005
1.800000e-002,-8.544922e-006,-6.713867e-006
1.900000e-002,-3.509521e-006,-2.746582e-006
2.000000e-002,-1.373291e-006,9.307861e-006
2.100000e-002,-1.831055e-006,3.707886e-005
2.200000e-002,-8.087158e-006,2.777100e-005
2.300000e-002,-1.449585e-005,1.220703e-006
2.400000e-002,-2.105713e-005,3.204346e-006
2.500000e-002,-2.029419e-005,-2.899170e-006
2.600000e-002,-1.861572e-005,7.476807e-006
2.700000e-002,-1.998901e-005,9.155273e-006
2.800000e-002,-1.937866e-005,3.509521e-006
2.900000e-002,-1.632690e-005,-2.182007e-005
3.000000e-002,-1.586914e-005,-3.173828e-005
3.100000e-002,-2.059937e-005,-2.593994e-005
3.200000e-002,-2.136230e-005,-2.822876e-005
3.300000e-002,-1.998901e-005,-2.777100e-005
3.400000e-002,-1.480103e-005,1.052856e-005
3.500000e-002,-1.052856e-005,2.487183e-005
3.600000e-002,-1.068115e-005,1.831055e-005
3.700000e-002,-6.713867e-006,1.708984e-005
3.800000e-002,-6.713867e-006,2.334595e-005
3.900000e-002,-9.307861e-006,2.502441e-005
4.000000e-002,-1.663208e-005,2.090454e-005
4.100000e-002,-1.693726e-005,1.861572e-005
4.200000e-002,-1.052856e-005,1.739502e-005
4.300000e-002,-1.403809e-005,5.187988e-006
4.400000e-002,-1.129150e-005,1.342773e-005
4.500000e-002,-9.613037e-006,1.525879e-006
4.600000e-002,-9.307861e-006,-6.256104e-006
4.700000e-002,-1.388550e-005,1.205444e-005
4.800000e-002,-1.632690e-005,-2.136230e-006
4.900000e-002,-1.953125e-005,-6.408691e-006
5.000000e-002,-2.105713e-005,-8.087158e-006
5.100000e-002,-1.922607e-005,-7.781982e-006
5.200000e-002,-1.571655e-005,-7.476807e-006
5.300000e-002,-1.281738e-005,-3.356934e-006
5.400000e-002,-1.525879e-005,6.103516e-007
5.500000e-002,-1.708984e-005,7.171631e-006
5.600000e-002,-1.342773e-005,6.561279e-006
5.700000e-002,-8.544922e-006,7.629395e-006
5.800000e-002,-1.052856e-005,1.083374e-005
5.900000e-002,-9.307861e-006,1.586914e-005
6.000000e-002,-1.281738e-005,6.561279e-006
6.100000e-002,-1.144409e-005,3.356934e-006
6.200000e-002,-7.781982e-006,-9.765625e-006
6.300000e-002,-1.007080e-005,-7.629395e-006
6.400000e-002,-1.159668e-005,7.476807e-006
6.500000e-002,-1.708984e-005,8.544922e-006
6.600000e-002,-1.312256e-005,1.220703e-006
6.700000e-002,-1.510620e-005,-4.119873e-006
6.800000e-002,-1.220703e-005,-1.113892e-005
6.900000e-002,-1.739502e-005,-1.632690e-005
7.000000e-002,-2.243042e-005,-1.434326e-005
7.100000e-002,-2.548218e-005,-9.918213e-006
7.200000e-002,-2.182007e-005,-4.577637e-006
7.300000e-002,-1.815796e-005,3.204346e-006
7.400000e-002,-1.586914e-005,9.613037e-006
7.500000e-002,-1.373291e-005,9.307861e-006
7.600000e-002,-1.144409e-005,9.460449e-006
7.700000e-002,-8.087158e-006,1.113892e-005
7.800000e-002,-7.934570e-006,1.632690e-005
7.900000e-002,-1.220703e-005,1.754761e-005
8.000000e-002,-1.434326e-005,1.541138e-005
8.100000e-002,-1.739502e-005,1.129150e-005
8.200000e-002,-1.815796e-005,1.190186e-005
8.300000e-002,-1.525879e-005,4.882813e-006
8.400000e-002,-1.342773e-005,9.155273e-007
8.500000e-002,-1.541138e-005,-1.983643e-006
8.600000e-002,-1.159668e-005,7.629395e-007
8.700000e-002,-7.171631e-006,1.068115e-005
8.800000e-002,-9.765625e-006,6.866455e-006
8.900000e-002,-1.235962e-005,-7.629395e-007
9.000000e-002,-1.586914e-005,-5.340576e-006
9.100000e-002,-1.861572e-005,-8.697510e-006
9.200000e-002,-2.304077e-005,-4.882813e-006
9.300000e-002,-2.212524e-005,7.629395e-007
9.400000e-002,-2.334595e-005,3.509521e-006
9.500000e-002,-1.953125e-005,7.629395e-006
9.600000e-002,-1.495361e-005,6.713867e-006
9.700000e-002,-1.647949e-005,5.493164e-006
9.800000e-002,-1.281738e-005,7.629395e-006
9.900000e-002,-9.307861e-006,8.697510e-006
1.000000e-001,-1.159668e-005,5.798340e-006
1.010000e-001,-5.950928e-006,3.051758e-006
1.020000e-001,-9.155273e-006,4.577637e-006
1.030000e-001,-9.918213e-006,3.051758e-007
1.040000e-001,-9.002686e-006,-1.525879e-007
1.050000e-001,-6.256104e-006,-3.967285e-006
1.060000e-001,-5.340576e-006,-1.983643e-006
1.070000e-001,-6.866455e-006,3.051758e-007
1.080000e-001,-1.205444e-005,-2.746582e-006
1.090000e-001,-1.174927e-005,-7.019043e-006
