Label: EMG Ch1 Sampling frequency: 1.000000e+003 Number of points: 10000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Manual
Use Camera: NO
Video File Path: Set1[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],EMG Ch1 [V]
0.000000e+000,4.257202e-005
1.000000e-003,4.058838e-005
2.000000e-003,3.997803e-005
3.000000e-003,4.699707e-005
4.000000e-003,4.699707e-005
5.000000e-003,4.364014e-005
6.000000e-003,4.226685e-005
7.000000e-003,4.058838e-005
8.000000e-003,4.272461e-005
9.000000e-003,4.180908e-005
1.000000e-002,4.272461e-005
1.100000e-002,3.967285e-005
1.200000e-002,4.089355e-005
1.300000e-002,4.455566e-005
1.400000e-002,4.364014e-005
1.500000e-002,4.013062e-005
1.600000e-002,4.440308e-005
1.700000e-002,4.684448e-005
1.800000e-002,4.486084e-005
1.900000e-002,4.241943e-005
2.000000e-002,4.058838e-005
2.100000e-002,4.241943e-005
2.200000e-002,4.470825e-005
2.300000e-002,4.516602e-005
2.400000e-002,4.684448e-005
2.500000e-002,4.653931e-005
2.600000e-002,4.425049e-005
2.700000e-002,4.135132e-005
2.800000e-002,3.875732e-005
2.900000e-002,4.211426e-005
3.000000e-002,4.394531e-005
3.100000e-002,4.531860e-005
3.200000e-002,4.211426e-005
3.300000e-002,4.272461e-005
3.400000e-002,4.302979e-005
3.500000e-002,4.608154e-005
3.600000e-002,4.806519e-005
3.700000e-002,4.745483e-005
3.800000e-002,4.547119e-005
3.900000e-002,4.714966e-005
4.000000e-002,5.004883e-005
4.100000e-002,4.623413e-005
4.200000e-002,4.776001e-005
4.300000e-002,4.623413e-005
4.400000e-002,4.257202e-005
4.500000e-002,4.486084e-005
4.600000e-002,4.470825e-005
4.700000e-002,4.104614e-005
4.800000e-002,4.211426e-005
4.900000e-002,4.272461e-005
5.000000e-002,4.196167e-005
5.100000e-002,4.394531e-005
5.200000e-002,4.165649e-005
5.300000e-002,4.226685e-005
5.400000e-002,4.241943e-005
5.500000e-002,4.333496e-005
5.600000e-002,4.425049e-005
5.700000e-002,4.379272e-005
5.800000e-002,4.394531e-005
5.900000e-002,4.486084e-005
6.000000e-002,4.379272e-005
6.100000e-002,4.730225e-005
6.200000e-002,4.592896e-005
6.300000e-002,4.867554e-005
6.400000e-002,4.333496e-005
6.500000e-002,4.379272e-005
6.600000e-002,4.577637e-005
6.700000e-002,4.226685e-005
6.800000e-002,3.921509e-005
6.900000e-002,3.738403e-005
7.000000e-002,3.936768e-005
7.100000e-002,3.509521e-005
7.200000e-002,3.967285e-005
7.300000e-002,4.287720e-005
7.400000e-002,4.333496e-005
7.500000e-002,4.165649e-005
7.600000e-002,4.455566e-005
7.700000e-002,4.257202e-005
7.800000e-002,4.943848e-005
7.900000e-002,4.562378e-005
8.000000e-002,4.516602e-005
8.100000e-002,4.623413e-005
8.200000e-002,4.577637e-005
8.300000e-002,4.867554e-005
8.400000e-002,4.882813e-005
8.500000e-002,4.348755e-005
8.600000e-002,4.470825e-005
8.700000e-002,4.653931e-005
8.800000e-002,4.318237e-005
8.900000e-002,3.921509e-005
9.000000e-002,3.936768e-005
9.100000e-002,4.211426e-005
9.200000e-002,4.058838e-005
9.300000e-002,4.379272e-005
9.400000e-002,4.180908e-005
9.500000e-002,4.699707e-005
9.600000e-002,4.714966e-005
9.700000e-002,4.745483e-005
9.800000e-002,4.714966e-005
9.900000e-002,4.425049e-005
1.000000e-001,4.394531e-005
1.010000e-001,4.653931e-005
1.020000e-001,4.577637e-005
1.030000e-001,4.730225e-005
1.040000e-001,4.379272e-005
1.050000e-001,4.302979e-005
1.060000e-001,4.333496e-005
1.070000e-001,4.196167e-005
1.080000e-001,3.982544e-005
1.090000e-001,4.318237e-005
1.100000e-001,4.165649e-005
1.110000e-001,3.814697e-005
1.120000e-001,4.043579e-005
1.130000e-001,4.486084e-005
1.140000e-001,4.348755e-005
1.150000e-001,4.684448e-005
1.160000e-001,4.745483e-005
1.170000e-001,4.730225e-005
1.180000e-001,4.684448e-005
1.190000e-001,4.577637e-005
1.200000e-001,4.684448e-005
1.210000e-001,4.470825e-005
1.220000e-001,4.440308e-005
1.230000e-001,4.516602e-005
1.240000e-001,4.180908e-005
1.250000e-001,4.333496e-005
1.260000e-001,4.287720e-005
1.270000e-001,4.226685e-005
1.280000e-001,4.119873e-005
1.290000e-001,4.348755e-005
1.300000e-001,4.180908e-005
1.310000e-001,3.829956e-005
1.320000e-001,4.028320e-005
1.330000e-001,4.089355e-005
1.340000e-001,4.425049e-005
1.350000e-001,4.226685e-005
1.360000e-001,4.302979e-005
1.370000e-001,4.257202e-005
1.380000e-001,4.684448e-005
1.390000e-001,4.760742e-005
1.400000e-001,4.730225e-005
1.410000e-001,4.714966e-005
1.420000e-001,4.608154e-005
